date,acquisition_type,symbol,quantity,price,fee
2022-03-28,MANUAL_BUY,2890,4000,17.35,98
2024-02-05,RECURRING_INVESTMENT,="00929",520,18.6,1
2024-06-13,MANUAL_BUY,="00929",10000,20.89,297
2024-08-16,RECURRING_INVESTMENT,="00878",436,22.92,1
2024-09-27,STOCK_DIVIDEND,2890,135,,0
2024-12-13,RECURRING_INVESTMENT,="006208",88,113.34,1
2025-02-03,DIVIDEND_REINVESTMENT,="00878",906,23.05,1
2025-02-14,MANUAL_BUY,="006208",1000,114.35,162
2025-04-09,MANUAL_BUY,="006208",2000,89.8,255
2025-05-13,RECURRING_INVESTMENT,="006208",94,105.49,1
2025-07-23,RECURRING_INVESTMENT,="0050",197,50.74,1
2025-08-13,RECURRING_INVESTMENT,="0050",187,53.22,1
